client,dim,rollup,item,share_model,share_spend,roas_index,proxy_ratio,csl_dev,vertical,tipo
bradesco_eletromidia,Praca,praca,sao-paulo,0.6137482428375993,0.6236459701917088,0.9841292530903922,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,praca,recife,0.16316078014075963,0.058567624257431096,2.7858528019438604,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,praca,rio-de-janeiro,0.11897345690419375,0.09580076094037712,1.2418842578738853,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,praca,salvador,0.07968624060505385,0.09824964170330461,0.8110588417786934,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,praca,porto-alegre,0.014366198306525642,0.08160003047437239,0.17605628604559828,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,praca,__outros__praca,0.010065081205867856,0.04213597243280611,0.23887145886851333,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Midia,raw,digital,0.9032862366352451,0.871844744964843,1.0360631773626965,0.992390419583833,0.03144149167040211,,
bradesco_eletromidia,Midia,raw,estatico,0.096713763364755,0.12815525503515696,0.7546609254394088,0.992390419583833,0.03144149167040211,,
bradesco_eletromidia,Modelo de Planejamento,raw,nao-programatica,0.5722455910320684,0.521317517279712,1.0976910847310566,0.9704844716207023,0.05092807375235642,,
bradesco_eletromidia,Modelo de Planejamento,raw,programatica,0.42775440896793165,0.478682482720288,0.893607818145049,0.9704844716207023,0.05092807375235642,,
bradesco_tiktok,product_level_4,campaign_category,brand-auction,0.4611732410690436,0.5863143251280565,0.7865631476227689,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,campaign_category,performance-auction,0.3660740304981754,0.1871932551940599,1.9555941271424173,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,campaign_category,brand-reservation,0.11791863109372154,0.14025302227086486,0.8407564356509207,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,campaign_category,__outros__product_level_4,0.03669869761839101,0.0042140728711472794,8.708605366000661,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,campaign_category,reach-frequency,0.018135399720668445,0.08202532453587151,0.2210951291358491,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,product_level_1,branding,0.5972272718834336,0.8085926719347928,0.7386008958681185,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,product_level_1,performance,0.3660740304981754,0.1871932551940599,1.9555941271424173,0.9746847565239393,0.253735964396546,,
bradesco_tiktok,product_level_4,product_level_1,__outros__product_level_4,0.03669869761839101,0.0042140728711472794,8.708605366000661,0.9746847565239393,0.253735964396546,,
casas_bahia_tiktok,product_level_4,campaign_category,brand-auction,0.45503647174839806,0.29034189891088485,1.5672435616606035,0.9925412383414568,0.23794350092454264,,
casas_bahia_tiktok,product_level_4,campaign_category,performance-auction,0.4045013617556933,0.2676883086747708,1.5110908793822004,0.9925412383414568,0.23794350092454264,,
casas_bahia_tiktok,product_level_4,campaign_category,reach-frequency,0.07291235575481488,0.3800851262905603,0.19183164694289093,0.9925412383414568,0.23794350092454264,,
casas_bahia_tiktok,product_level_4,campaign_category,__outros__product_level_4,0.06754981074109374,0.061884666123784085,1.0915435918483913,0.9925412383414568,0.23794350092454264,,
casas_bahia_tiktok,product_level_4,product_level_1,branding,0.5279488275032129,0.6704270252014451,0.787481422522576,0.9925412383414568,0.23794350092454264,,
casas_bahia_tiktok,product_level_4,product_level_1,performance,0.4045013617556933,0.2676883086747708,1.5110908793822004,0.9925412383414568,0.23794350092454264,,
casas_bahia_tiktok,product_level_4,product_level_1,__outros__product_level_4,0.06754981074109374,0.061884666123784085,1.0915435918483913,0.9925412383414568,0.23794350092454264,,
alpargatas_tiktok,product_level_4,campaign_category,brand-auction,0.8019620381844976,0.8359220648329785,0.9593741712569027,0.9469058677765154,0.08442537309666964,,
alpargatas_tiktok,product_level_4,campaign_category,__outros__product_level_4,0.12409750495119894,0.06786007401010447,1.828726342572521,0.9469058677765154,0.08442537309666964,,
alpargatas_tiktok,product_level_4,campaign_category,brand-reservation,0.05098792937202088,0.07053037273842601,0.7229215923913853,0.9469058677765154,0.08442537309666964,,
alpargatas_tiktok,product_level_4,campaign_category,reach-frequency,0.022952527492282652,0.025687488418491045,0.8935294536526335,0.9469058677765154,0.08442537309666964,,
alpargatas_tiktok,product_level_4,product_level_1,branding,0.8759024950488011,0.9321399259898955,0.9396684667472296,0.9469058677765154,0.08442537309666964,,
alpargatas_tiktok,product_level_4,product_level_1,__outros__product_level_4,0.12409750495119894,0.06786007401010447,1.828726342572521,0.9469058677765154,0.08442537309666964,,
hypera_eletromidia,Ambiente,grupo,mobiliarios-urbanos,0.5669195322193341,0.5395158494734992,1.050793100466979,1.0975015534705153,0.07540252972575309,ruas,outdoor
hypera_eletromidia,Ambiente,grupo,edificios-comerciais,0.14165726674531462,0.09080447137493083,1.5600252344448222,1.0975015534705153,0.07540252972575309,edificios,indoor
hypera_eletromidia,Ambiente,grupo,cptm,0.08356406853954704,0.11030086510751931,0.7576012070085786,1.0975015534705153,0.07540252972575309,transportes,indoor
hypera_eletromidia,Ambiente,grupo,interno-de-trem,0.06601507650960363,0.06320520662709272,1.0444563040366117,1.0975015534705153,0.07540252972575309,transportes,indoor
hypera_eletromidia,Ambiente,grupo,edificios-residenciais,0.048553188715384284,0.0248687531033544,1.9523772870154568,1.0975015534705153,0.07540252972575309,edificios,indoor
hypera_eletromidia,Ambiente,grupo,__outros__ambiente,0.04795837213734196,0.012995141829508684,3.6904847031711974,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Ambiente,grupo,bancas-de-jornal,0.027767351043939528,0.0653420386688069,0.42495385221574294,1.0975015534705153,0.07540252972575309,ruas,outdoor
hypera_eletromidia,Ambiente,grupo,metro-rio,0.017565144089534933,0.09296767381528802,0.18893819075686544,1.0975015534705153,0.07540252972575309,transportes,indoor
hypera_eletromidia,Ambiente,vertical,ruas,0.5946868832632736,0.6048578881423061,0.9831844717934147,1.0975015534705153,0.07540252972575309,,
hypera_eletromidia,Ambiente,vertical,edificios,0.19021045546069887,0.11567322447828524,1.644377567225215,1.0975015534705153,0.07540252972575309,,
